2021/02/11 11:45:21 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"info","message":"ohno104: go-programming-tour-book/blog-service","time":1613015121091010300}
2021/02/12 01:16:22 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063782826820900}
2021/02/12 01:16:44 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063804504914700}
2021/02/12 01:18:05 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063885015330200}
2021/02/12 01:18:07 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063887319220200}
2021/02/12 01:18:46 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063926239756900}
2021/02/12 01:18:49 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063929086710100}
2021/02/12 01:19:00 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063940751880800}
2021/02/12 01:19:41 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063981584562800}
2021/02/12 01:19:43 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063983895747200}
2021/02/12 01:19:46 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063986279460700}
2021/02/12 01:19:47 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613063987600975400}
2021/02/12 01:25:06 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1613064306502893300}
2021/02/12 01:25:13 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613064313621343000}
2021/02/12 01:25:24 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [01]","time":1613064324172847800}
2021/02/12 01:27:38 {"callers":["D:/GoWorkspace/src/felix.bs.com/felix/BeStrongerInGO/Gin-BlogService/main.go: 28 main.init.0"],"level":"error","message":"app.BindAndValid errs: State must be one of [0 1]","time":1613064458555760100}
